,TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value
202,2011,Croatia,Age reached during the year,Total,Number,Total,8534.0
203,2011,Italy,Age reached during the year,Total,Number,Total,385793.0
204,2011,Cyprus,Age reached during the year,Total,Number,Total,23037.0
205,2011,Latvia,Age reached during the year,Total,Number,Total,10234.0
206,2011,Lithuania,Age reached during the year,Total,Number,Total,15685.0
207,2011,Luxembourg,Age reached during the year,Total,Number,Total,20268.0
208,2011,Hungary,Age reached during the year,Total,Number,Total,28018.0
209,2011,Malta,Age reached during the year,Total,Number,Total,5465.0
210,2011,Netherlands,Age reached during the year,Total,Number,Total,130118.0
211,2011,Austria,Age reached during the year,Total,Number,Total,82230.0
212,2011,Poland,Age reached during the year,Total,Number,Total,157059.0
213,2011,Portugal,Age reached during the year,Total,Number,Total,19667.0
214,2011,Romania,Age reached during the year,Total,Number,Total,147685.0
215,2011,Slovenia,Age reached during the year,Total,Number,Total,14083.0
216,2011,Slovakia,Age reached during the year,Total,Number,Total,4829.0
217,2011,Finland,Age reached during the year,Total,Number,Total,29481.0
218,2011,Sweden,Age reached during the year,Total,Number,Total,96467.0
219,2011,United Kingdom,Age reached during the year,Total,Number,Total,566044.0
220,2011,Iceland,Age reached during the year,Total,Number,Total,4073.0
221,2011,Liechtenstein,Age reached during the year,Total,Number,Total,650.0
222,2011,Norway,Age reached during the year,Total,Number,Total,70337.0
223,2011,Switzerland,Age reached during the year,Total,Number,Total,148799.0
224,2012,Belgium,Age reached during the year,Total,Number,Total,147387.0
225,2012,Bulgaria,Age reached during the year,Total,Number,Total,14103.0
226,2012,Czech Republic,Age reached during the year,Total,Number,Total,34337.0
227,2012,Denmark,Age reached during the year,Total,Number,Total,54409.0
228,2012,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,592175.0
229,2012,Estonia,Age reached during the year,Total,Number,Total,2639.0
230,2012,Ireland,Age reached during the year,Total,Number,Total,54439.0
231,2012,Greece,Age reached during the year,Total,Number,Total,58200.0
232,2012,Spain,Age reached during the year,Total,Number,Total,304053.0
233,2012,France,Age reached during the year,Total,Number,Total,327431.0
234,2012,Croatia,Age reached during the year,Total,Number,Total,8959.0
235,2012,Italy,Age reached during the year,Total,Number,Total,350772.0
236,2012,Cyprus,Age reached during the year,Total,Number,Total,17476.0
237,2012,Latvia,Age reached during the year,Total,Number,Total,13303.0
238,2012,Lithuania,Age reached during the year,Total,Number,Total,19843.0
239,2012,Luxembourg,Age reached during the year,Total,Number,Total,20478.0
240,2012,Hungary,Age reached during the year,Total,Number,Total,33702.0
241,2012,Malta,Age reached during the year,Total,Number,Total,7111.0
242,2012,Netherlands,Age reached during the year,Total,Number,Total,124566.0
243,2012,Austria,Age reached during the year,Total,Number,Total,91557.0
244,2012,Poland,Age reached during the year,Total,Number,Total,217546.0
245,2012,Portugal,Age reached during the year,Total,Number,Total,14606.0
246,2012,Romania,Age reached during the year,Total,Number,Total,167266.0
247,2012,Slovenia,Age reached during the year,Total,Number,Total,15022.0
248,2012,Slovakia,Age reached during the year,Total,Number,Total,5419.0
249,2012,Finland,Age reached during the year,Total,Number,Total,31278.0
250,2012,Sweden,Age reached during the year,Total,Number,Total,103059.0
251,2012,United Kingdom,Age reached during the year,Total,Number,Total,498040.0
252,2012,Iceland,Age reached during the year,Total,Number,Total,4960.0
253,2012,Liechtenstein,Age reached during the year,Total,Number,Total,671.0
254,2012,Norway,Age reached during the year,Total,Number,Total,69908.0
255,2012,Switzerland,Age reached during the year,Total,Number,Total,149051.0
256,2013,Belgium,Age reached during the year,Total,Number,Total,118256.0
257,2013,Bulgaria,Age reached during the year,Total,Number,Total,18570.0
258,2013,Czech Republic,Age reached during the year,Total,Number,Total,30124.0
259,2013,Denmark,Age reached during the year,Total,Number,Total,60312.0
260,2013,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,692713.0
261,2013,Estonia,Age reached during the year,Total,Number,Total,4109.0
262,2013,Ireland,Age reached during the year,Total,Number,Total,59294.0
263,2013,Greece,Age reached during the year,Total,Number,Total,57946.0
264,2013,Spain,Age reached during the year,Total,Number,Total,280772.0
265,2013,France,Age reached during the year,Total,Number,Total,332640.0
266,2013,Croatia,Age reached during the year,Total,Number,Total,10378.0
267,2013,Italy,Age reached during the year,Total,Number,Total,307454.0
268,2013,Cyprus,Age reached during the year,Total,Number,Total,13149.0
269,2013,Latvia,Age reached during the year,Total,Number,Total,8299.0
270,2013,Lithuania,Age reached during the year,Total,Number,Total,22011.0
271,2013,Luxembourg,Age reached during the year,Total,Number,Total,21098.0
