TIME,GEO,AGE,SEX,UNIT,Value,Flag and Footnotes
2010,San Marino,Total,Total,Number,,
2010,Ukraine,Total,Total,Number,45782592,
2010,Armenia,Total,Total,Number,3249482,
2010,Azerbaijan,Total,Total,Number,8997586,
2010,Georgia,Total,Total,Number,4436391,
2011,European Union (28 countries),Total,Total,Number,502964837,b
2011,European Union (27 countries),Total,Total,Number,498674980,b
2011,Euro area (19 countries),Total,Total,Number,334572589,b
2011,Euro area (18 countries),Total,Total,Number,331520001,b
2011,Belgium,Total,Total,Number,11000638,b
2011,Bulgaria,Total,Total,Number,7369431,
2011,Czech Republic,Total,Total,Number,10486731,
2011,Denmark,Total,Total,Number,5560628,
2011,Germany (until 1990 former territory of the FRG),Total,Total,Number,80222065,b
2011,Germany (including former GDR),Total,Total,Number,80222065,b
2011,Estonia,Total,Total,Number,1329660,
2011,Ireland,Total,Total,Number,4570881,
2011,Greece,Total,Total,Number,11123392,
2011,Spain,Total,Total,Number,46667174,
2011,France,Total,Total,Number,64978721,
2011,France (metropolitan),Total,Total,Number,63070344,
2011,Croatia,Total,Total,Number,4289857,
2011,Italy,Total,Total,Number,59364690,
2011,Cyprus,Total,Total,Number,839751,
2011,Latvia,Total,Total,Number,2074605,
2011,Lithuania,Total,Total,Number,3052588,
2011,Luxembourg,Total,Total,Number,511840,
2011,Hungary,Total,Total,Number,9985722,
2011,Malta,Total,Total,Number,414989,
2011,Netherlands,Total,Total,Number,16655799,
2011,Austria,Total,Total,Number,8375164,
2011,Poland,Total,Total,Number,38062718,
2011,Portugal,Total,Total,Number,10572721,
2011,Romania,Total,Total,Number,20199059,
2011,Slovenia,Total,Total,Number,2050189,
2011,Slovakia,Total,Total,Number,5392446,
2011,Finland,Total,Total,Number,5375276,
2011,Sweden,Total,Total,Number,9415570,
2011,United Kingdom,Total,Total,Number,63022532,
2011,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,508239743,b
2011,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,503949886,b
2011,European Free Trade Association,Total,Total,Number,13145040,b
2011,Iceland,Total,Total,Number,318452,
2011,Liechtenstein,Total,Total,Number,36149,
2011,Norway,Total,Total,Number,4920305,
2011,Switzerland,Total,Total,Number,7870134,b
2011,Montenegro,Total,Total,Number,619850,
2011,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2057284,
2011,Albania,Total,Total,Number,2831741,
2011,Serbia,Total,Total,Number,7251549,b
2011,Turkey,Total,Total,Number,73722988,
2011,Andorra,Total,Total,Number,78115,
2011,Belarus,Total,Total,Number,9481193,
2011,Bosnia and Herzegovina,Total,Total,Number,3843183,
2011,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,1794180,b
2011,Moldova,Total,Total,Number,3560430,
2011,Monaco,Total,Total,Number,,
2011,Russia,Total,Total,Number,142856536,
2011,San Marino,Total,Total,Number,31863,
2011,Ukraine,Total,Total,Number,45598179,
2011,Armenia,Total,Total,Number,3262650,
2011,Azerbaijan,Total,Total,Number,9111078,
2011,Georgia,Total,Total,Number,4469250,
2012,European Union (28 countries),Total,Total,Number,504060345,b
2012,European Union (27 countries),Total,Total,Number,499784361,b
2012,Euro area (19 countries),Total,Total,Number,335301305,b
2012,Euro area (18 countries),Total,Total,Number,332297664,b
2012,Belgium,Total,Total,Number,11094850,
2012,Bulgaria,Total,Total,Number,7327224,
2012,Czech Republic,Total,Total,Number,10505445,
2012,Denmark,Total,Total,Number,5580516,
2012,Germany (until 1990 former territory of the FRG),Total,Total,Number,80327900,
2012,Germany (including former GDR),Total,Total,Number,80327900,
2012,Estonia,Total,Total,Number,1325217,
2012,Ireland,Total,Total,Number,4582707,
2012,Greece,Total,Total,Number,11086406,
2012,Spain,Total,Total,Number,46818219,
2012,France,Total,Total,Number,65276983,b
2012,France (metropolitan),Total,Total,Number,63375971,
2012,Croatia,Total,Total,Number,4275984,
2012,Italy,Total,Total,Number,59394207,
2012,Cyprus,Total,Total,Number,862011,
2012,Latvia,Total,Total,Number,2044813,
2012,Lithuania,Total,Total,Number,3003641,
2012,Luxembourg,Total,Total,Number,524853,b
2012,Hungary,Total,Total,Number,9931925,b
2012,Malta,Total,Total,Number,417546,
2012,Netherlands,Total,Total,Number,16730348,
2012,Austria,Total,Total,Number,8408121,
2012,Poland,Total,Total,Number,38063792,
2012,Portugal,Total,Total,Number,10542398,
2012,Romania,Total,Total,Number,20095996,
2012,Slovenia,Total,Total,Number,2055496,
2012,Slovakia,Total,Total,Number,5404322,
2012,Finland,Total,Total,Number,5401267,
2012,Sweden,Total,Total,Number,9482855,
2012,United Kingdom,Total,Total,Number,63495303,
