TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value,Flag and Footnotes
2008,Cyprus,Total,Males,From 18 to 34 years,Person,4440,
2008,Cyprus,Total,Males,35 years or over,Person,1130,
2008,Cyprus,Total,Females,Total,Person,1125,
2008,Cyprus,Total,Females,Less than 14 years,Person,135,
2008,Cyprus,Total,Females,From 14 to 17 years,Person,45,
2008,Cyprus,Total,Females,From 18 to 34 years,Person,550,
2008,Cyprus,Total,Females,35 years or over,Person,395,
2008,Cyprus,Total,Unknown,Total,Person,,
2008,Cyprus,Total,Unknown,Less than 14 years,Person,,
2008,Cyprus,Total,Unknown,From 14 to 17 years,Person,,
2008,Cyprus,Total,Unknown,From 18 to 34 years,Person,,
2008,Cyprus,Total,Unknown,35 years or over,Person,,
2008,Latvia,Total,Total,Total,Person,310,
2008,Latvia,Total,Total,Less than 14 years,Person,0,
2008,Latvia,Total,Total,From 14 to 17 years,Person,5,
2008,Latvia,Total,Total,From 18 to 34 years,Person,150,
2008,Latvia,Total,Total,35 years or over,Person,160,
2008,Latvia,Total,Males,Total,Person,260,
2008,Latvia,Total,Males,Less than 14 years,Person,0,
2008,Latvia,Total,Males,From 14 to 17 years,Person,5,
2008,Latvia,Total,Males,From 18 to 34 years,Person,130,
2008,Latvia,Total,Males,35 years or over,Person,130,
2008,Latvia,Total,Females,Total,Person,50,
2008,Latvia,Total,Females,Less than 14 years,Person,0,
2008,Latvia,Total,Females,From 14 to 17 years,Person,0,
2008,Latvia,Total,Females,From 18 to 34 years,Person,20,
2008,Latvia,Total,Females,35 years or over,Person,30,
2008,Latvia,Total,Unknown,Total,Person,,
2008,Latvia,Total,Unknown,Less than 14 years,Person,,
2008,Latvia,Total,Unknown,From 14 to 17 years,Person,,
2008,Latvia,Total,Unknown,From 18 to 34 years,Person,,
2008,Latvia,Total,Unknown,35 years or over,Person,,
2008,Lithuania,Total,Total,Total,Person,910,
2008,Lithuania,Total,Total,Less than 14 years,Person,30,
2008,Lithuania,Total,Total,From 14 to 17 years,Person,15,
2008,Lithuania,Total,Total,From 18 to 34 years,Person,410,
2008,Lithuania,Total,Total,35 years or over,Person,455,
2008,Lithuania,Total,Males,Total,Person,675,
2008,Lithuania,Total,Males,Less than 14 years,Person,20,
2008,Lithuania,Total,Males,From 14 to 17 years,Person,10,
2008,Lithuania,Total,Males,From 18 to 34 years,Person,330,
2008,Lithuania,Total,Males,35 years or over,Person,315,
2008,Lithuania,Total,Females,Total,Person,235,
2008,Lithuania,Total,Females,Less than 14 years,Person,10,
2008,Lithuania,Total,Females,From 14 to 17 years,Person,5,
2008,Lithuania,Total,Females,From 18 to 34 years,Person,80,
2008,Lithuania,Total,Females,35 years or over,Person,135,
2008,Lithuania,Total,Unknown,Total,Person,,
2008,Lithuania,Total,Unknown,Less than 14 years,Person,,
2008,Lithuania,Total,Unknown,From 14 to 17 years,Person,,
2008,Lithuania,Total,Unknown,From 18 to 34 years,Person,,
2008,Lithuania,Total,Unknown,35 years or over,Person,,
2008,Luxembourg,Total,Total,Total,Person,,
2008,Luxembourg,Total,Total,Less than 14 years,Person,,
2008,Luxembourg,Total,Total,From 14 to 17 years,Person,,
2008,Luxembourg,Total,Total,From 18 to 34 years,Person,,
2008,Luxembourg,Total,Total,35 years or over,Person,,
2008,Luxembourg,Total,Males,Total,Person,,
2008,Luxembourg,Total,Males,Less than 14 years,Person,,
2008,Luxembourg,Total,Males,From 14 to 17 years,Person,,
2008,Luxembourg,Total,Males,From 18 to 34 years,Person,,
2008,Luxembourg,Total,Males,35 years or over,Person,,
2008,Luxembourg,Total,Females,Total,Person,,
2008,Luxembourg,Total,Females,Less than 14 years,Person,,
2008,Luxembourg,Total,Females,From 14 to 17 years,Person,,
2008,Luxembourg,Total,Females,From 18 to 34 years,Person,,
2008,Luxembourg,Total,Females,35 years or over,Person,,
2008,Luxembourg,Total,Unknown,Total,Person,,
2008,Luxembourg,Total,Unknown,Less than 14 years,Person,,
