"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2008","Latvia","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Latvia","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Latvia","Total","Unknown","35 years or over","Person",":",""
"2008","Lithuania","Total","Total","Total","Person","910",""
"2008","Lithuania","Total","Total","Less than 14 years","Person","30",""
"2008","Lithuania","Total","Total","From 14 to 17 years","Person","15",""
"2008","Lithuania","Total","Total","From 18 to 34 years","Person","410",""
"2008","Lithuania","Total","Total","35 years or over","Person","455",""
"2008","Lithuania","Total","Males","Total","Person","675",""
"2008","Lithuania","Total","Males","Less than 14 years","Person","20",""
"2008","Lithuania","Total","Males","From 14 to 17 years","Person","10",""
"2008","Lithuania","Total","Males","From 18 to 34 years","Person","330",""
"2008","Lithuania","Total","Males","35 years or over","Person","315",""
"2008","Lithuania","Total","Females","Total","Person","235",""
"2008","Lithuania","Total","Females","Less than 14 years","Person","10",""
"2008","Lithuania","Total","Females","From 14 to 17 years","Person","5",""
"2008","Lithuania","Total","Females","From 18 to 34 years","Person","80",""
"2008","Lithuania","Total","Females","35 years or over","Person","135",""
"2008","Lithuania","Total","Unknown","Total","Person",":",""
"2008","Lithuania","Total","Unknown","Less than 14 years","Person",":",""
"2008","Lithuania","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Lithuania","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Lithuania","Total","Unknown","35 years or over","Person",":",""
"2008","Luxembourg","Total","Total","Total","Person",":",""
"2008","Luxembourg","Total","Total","Less than 14 years","Person",":",""
"2008","Luxembourg","Total","Total","From 14 to 17 years","Person",":",""
"2008","Luxembourg","Total","Total","From 18 to 34 years","Person",":",""
"2008","Luxembourg","Total","Total","35 years or over","Person",":",""
"2008","Luxembourg","Total","Males","Total","Person",":",""
"2008","Luxembourg","Total","Males","Less than 14 years","Person",":",""
"2008","Luxembourg","Total","Males","From 14 to 17 years","Person",":",""
"2008","Luxembourg","Total","Males","From 18 to 34 years","Person",":",""
"2008","Luxembourg","Total","Males","35 years or over","Person",":",""
"2008","Luxembourg","Total","Females","Total","Person",":",""
"2008","Luxembourg","Total","Females","Less than 14 years","Person",":",""
"2008","Luxembourg","Total","Females","From 14 to 17 years","Person",":",""
"2008","Luxembourg","Total","Females","From 18 to 34 years","Person",":",""
"2008","Luxembourg","Total","Females","35 years or over","Person",":",""
"2008","Luxembourg","Total","Unknown","Total","Person",":",""
"2008","Luxembourg","Total","Unknown","Less than 14 years","Person",":",""
"2008","Luxembourg","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Luxembourg","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Luxembourg","Total","Unknown","35 years or over","Person",":",""
"2008","Hungary","Total","Total","Total","Person","1,875",""
"2008","Hungary","Total","Total","Less than 14 years","Person","10",""
"2008","Hungary","Total","Total","From 14 to 17 years","Person","15",""
"2008","Hungary","Total","Total","From 18 to 34 years","Person","885",""
"2008","Hungary","Total","Total","35 years or over","Person","965",""
"2008","Hungary","Total","Males","Total","Person","1,335",""
"2008","Hungary","Total","Males","Less than 14 years","Person","10",""
"2008","Hungary","Total","Males","From 14 to 17 years","Person","5",""
"2008","Hungary","Total","Males","From 18 to 34 years","Person","640",""
"2008","Hungary","Total","Males","35 years or over","Person","675",""
"2008","Hungary","Total","Females","Total","Person","540",""
"2008","Hungary","Total","Females","Less than 14 years","Person","5",""
"2008","Hungary","Total","Females","From 14 to 17 years","Person","5",""
"2008","Hungary","Total","Females","From 18 to 34 years","Person","240",""
"2008","Hungary","Total","Females","35 years or over","Person","290",""
"2008","Hungary","Total","Unknown","Total","Person",":",""
"2008","Hungary","Total","Unknown","Less than 14 years","Person",":",""
"2008","Hungary","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Hungary","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Hungary","Total","Unknown","35 years or over","Person",":",""
"2008","Malta","Total","Total","Total","Person","3,015",""
"2008","Malta","Total","Total","Less than 14 years","Person","35",""
"2008","Malta","Total","Total","From 14 to 17 years","Person","170",""
"2008","Malta","Total","Total","From 18 to 34 years","Person","2,640",""
"2008","Malta","Total","Total","35 years or over","Person","170",""
"2008","Malta","Total","Males","Total","Person","2,615",""
"2008","Malta","Total","Males","Less than 14 years","Person","20",""
"2008","Malta","Total","Males","From 14 to 17 years","Person","145",""
"2008","Malta","Total","Males","From 18 to 34 years","Person","2,300",""
"2008","Malta","Total","Males","35 years or over","Person","145",""
"2008","Malta","Total","Females","Total","Person","400",""
"2008","Malta","Total","Females","Less than 14 years","Person","15",""
"2008","Malta","Total","Females","From 14 to 17 years","Person","25",""
"2008","Malta","Total","Females","From 18 to 34 years","Person","335",""
"2008","Malta","Total","Females","35 years or over","Person","25",""
"2008","Malta","Total","Unknown","Total","Person",":",""
"2008","Malta","Total","Unknown","Less than 14 years","Person",":",""
"2008","Malta","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Malta","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Malta","Total","Unknown","35 years or over","Person",":",""
"2008","Netherlands","Total","Total","Total","Person","7,505",""
"2008","Netherlands","Total","Total","Less than 14 years","Person","30",""
"2008","Netherlands","Total","Total","From 14 to 17 years","Person","200",""
"2008","Netherlands","Total","Total","From 18 to 34 years","Person","4,705",""
"2008","Netherlands","Total","Total","35 years or over","Person","2,570",""
"2008","Netherlands","Total","Males","Total","Person","6,445",""
"2008","Netherlands","Total","Males","Less than 14 years","Person","20",""
"2008","Netherlands","Total","Males","From 14 to 17 years","Person","165",""
"2008","Netherlands","Total","Males","From 18 to 34 years","Person","4,050",""
"2008","Netherlands","Total","Males","35 years or over","Person","2,210",""
"2008","Netherlands","Total","Females","Total","Person","1,060",""
"2008","Netherlands","Total","Females","Less than 14 years","Person","10",""
"2008","Netherlands","Total","Females","From 14 to 17 years","Person","30",""
"2008","Netherlands","Total","Females","From 18 to 34 years","Person","655",""
"2008","Netherlands","Total","Females","35 years or over","Person","360",""
"2008","Netherlands","Total","Unknown","Total","Person",":",""
"2008","Netherlands","Total","Unknown","Less than 14 years","Person",":",""
"2008","Netherlands","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Netherlands","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Netherlands","Total","Unknown","35 years or over","Person",":",""
"2008","Austria","Total","Total","Total","Person","14,500",""
"2008","Austria","Total","Total","Less than 14 years","Person","1,450",""
"2008","Austria","Total","Total","From 14 to 17 years","Person","1,195",""
"2008","Austria","Total","Total","From 18 to 34 years","Person","8,330",""
"2008","Austria","Total","Total","35 years or over","Person","3,525",""
"2008","Austria","Total","Males","Total","Person","11,095",""
"2008","Austria","Total","Males","Less than 14 years","Person","780",""
"2008","Austria","Total","Males","From 14 to 17 years","Person","1,010",""
"2008","Austria","Total","Males","From 18 to 34 years","Person","6,710",""
"2008","Austria","Total","Males","35 years or over","Person","2,595",""
"2008","Austria","Total","Females","Total","Person","3,405",""
"2008","Austria","Total","Females","Less than 14 years","Person","670",""
"2008","Austria","Total","Females","From 14 to 17 years","Person","185",""
"2008","Austria","Total","Females","From 18 to 34 years","Person","1,625",""
"2008","Austria","Total","Females","35 years or over","Person","930",""
"2008","Austria","Total","Unknown","Total","Person",":",""
"2008","Austria","Total","Unknown","Less than 14 years","Person",":",""
"2008","Austria","Total","Unknown","From 14 to 17 years","Person",":",""
