"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2013S1","Hungary","Euro","335.27",""
"2013S1","Malta","Euro","702.82",""
"2013S1","Netherlands","Euro","1,469.40",""
"2013S1","Austria","Euro",":","z"
"2013S1","Poland","Euro","392.73",""
"2013S1","Portugal","Euro","565.83",""
"2013S1","Romania","Euro","157.50",""
"2013S1","Slovenia","Euro","783.66",""
"2013S1","Slovakia","Euro","337.70",""
"2013S1","Finland","Euro",":","z"
"2013S1","Sweden","Euro",":","z"
"2013S1","United Kingdom","Euro","1,249.85",""
"2013S1","Iceland","Euro",":","z"
"2013S1","Norway","Euro",":","z"
"2013S1","Switzerland","Euro",":","z"
"2013S1","Montenegro","Euro",":",""
"2013S1","Former Yugoslav Republic of Macedonia, the","Euro","199.48",""
"2013S1","Albania","Euro",":",""
"2013S1","Serbia","Euro","239.24",""
"2013S1","Turkey","Euro","415.52",""
"2013S1","United States","Euro","952.46",""
"2013S2","Belgium","Euro","1,501.82",""
"2013S2","Bulgaria","Euro","158.50",""
"2013S2","Czech Republic","Euro","308.30",""
"2013S2","Denmark","Euro",":","z"
"2013S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S2","Estonia","Euro","320.00",""
"2013S2","Ireland","Euro","1,461.85",""
"2013S2","Greece","Euro","683.76",""
"2013S2","Spain","Euro","752.85",""
"2013S2","France","Euro","1,430.22",""
"2013S2","Croatia","Euro","400.67",""
"2013S2","Italy","Euro",":","z"
"2013S2","Cyprus","Euro",":","z"
"2013S2","Latvia","Euro","284.74",""
"2013S2","Lithuania","Euro","289.62",""
"2013S2","Luxembourg","Euro","1,874.19",""
"2013S2","Hungary","Euro","332.37",""
"2013S2","Malta","Euro","702.82",""
"2013S2","Netherlands","Euro","1,477.80",""
"2013S2","Austria","Euro",":","z"
"2013S2","Poland","Euro","368.87",""
"2013S2","Portugal","Euro","565.83",""
"2013S2","Romania","Euro","179.36",""
"2013S2","Slovenia","Euro","783.66",""
"2013S2","Slovakia","Euro","337.70",""
"2013S2","Finland","Euro",":","z"
"2013S2","Sweden","Euro",":","z"
"2013S2","United Kingdom","Euro","1,189.92",""
